UF,Municipios,IDH,PIB per capita,Produto Interno Bruto Anual (R$ 1.000),GINI
AC,Acrelandia,"0,604",15737.64 ,236379.39,"0,5464"
AC,Assis Brasil,"0,588",12532.31,91485.89,"0,6228"
AC,Brasileia,"0,614",16165.25 ,417839.29,"0,5945"
AC,Bujari,"0,589",15606.47 ,157797.04,"0,5832"
AC,Capixaba,"0,575",14874.52 ,170402.52,"0,5627"
AC,Cruzeiro do Sul,"0,664",16261.39 ,1425684.78,"0,6438"
AC,Epitaciolandia,"0,653",25349.75 ,459388.22,"0,6070"
AC,Feijo,"0,539",10500.72 ,364112.45,"0,6774"
AC,Jordao,"0,469",9428.70 ,76928.8,"0,7112"
AC,Mancio Lima,"0,625",10629.45 ,198111.63,"0,6102"
AC,Manoel Urbano,"0,551",13389.93 ,125008.41,"0,5939"
AC,Marechal Thaumaturgo,"0,501",10462.83 ,192829.95,"0,5938"
AC,Placido de Castro,"0,622",12926.47 ,252906.44,"0,5750"
AC,Porto Acre,"0,576",12855.64 ,233715.57,"0,6121"
AC,Porto Walter,"0,532",9569.61 ,112155.82,"0,6094"
AC,Rio Branco,"0,727",22287.70 ,8940823.18,"0,6121"
AC,Rodrigues Alves,"0,567",9973.26 ,184545.29,"0,6463"
AC,Santa Rosa do Purus,"0,517",11233.49 ,71467.47,"0,7758"
AC,Sena Madureira,"0,603",11475.22 ,518416.14,"0,5485"
AC,Senador Guiomard,"0,640",16360.61 ,373185.44,"0,5590"
AC,Tarauaca,"0,539",11645.35 ,488825.26,"0,6481"
AC,Xapuri,"0,599",12553.21 ,239113.6,"0,5900"
AL,Agua Branca,"0,549",7004.81 ,141230.89,"0,5072"
AL,Anadia,"0,568",9399.28 ,165088.98,"0,5381"
AL,Arapiraca,"0,649",19389.15 ,4467590.16,"0,5589"
AL,Atalaia,"0,561",16261.59 ,764294.86,"0,5172"
AL,Barra de Santo Antonio,"0,557",11013.89 ,173931.35,"0,5362"
AL,Barra de Sao Miguel,"0,615",23554.26 ,194652.38,"0,4553"
AL,Batalha,"0,594",9068.67 ,167362.4,"0,5450"
AL,Belem,"0,593",19209.07 ,84635.18,"0,6284"
AL,Belo Monte,"0,517",11821.36 ,79155.85,"0,6614"
AL,Boca da Mata,"0,604",12132.78 ,329623.32,"0,5251"
AL,Branquinha,"0,513",47215.27 ,497129.62,"0,4304"
AL,Cacimbinhas,"0,531",8781.74 ,94228.05,"0,5954"
AL,Cajueiro,"0,562",8676.02 ,183879.56,"0,5038"
AL,Campestre,"0,559",8437.50 ,58370.6,"0,4785"
AL,Campo Alegre,"0,570",8124.18 ,459657.76,"0,4882"
AL,Campo Grande,"0,524",8976.96 ,85720.95,"0,5815"
AL,Canapi,"0,506",6629.41 ,117512.89,"0,6032"
AL,Capela,"0,573",10749.33 ,184071.5,"0,5017"
AL,Carneiros,"0,526",6885.91 ,61973.23,"0,5463"
AL,Cha Preta,"0,575",15809.36 ,115708.72,"0,5220"
